Participant Number,Display,THD,TLD
1,NCW,67.584,53.257
2,NCW,61.161,5.682
3,NCW,62.07,41.801
4,NCW,24.325,3.996
5,NCW,1.504,4.427
6,SSD,78.95,76.904
7,SSD,94.679,41.741
8,SSD,41.741,41.741
9,SSD,56.414,11.68
10,SSD,3.388,24.654
11,NCW,37.626,14.239
12,NCW,22.028,31.097
13,NCW,35.25,35.426
14,NCW,29.619,15.806
15,SSD,84.493,95.888
16,SSD,105.003,63.988
17,SSD,128.871,100.177
18,SSD,102.395,105.98
19,NCW,35.237,41.764
20,NCW,27.934,32.201
21,NCW,26.688,10.253
22,NCW,46.5,16.261
23,SSD,111.648,99.656
24,SSD,82.773,107.459
25,SSD,135.064,68.752
26,SSD,88.9,90.929
