Participant Number,Display,THD,TLD
1,NCW,5.0,5.0
2,NCW,5.0,50.626999999999995
3,NCW,4.999999999999993,5.0
4,NCW,5.0,5.0
5,NCW,57.519000000000005,58.33
6,SSD,8.105999999999995,8.100000000000009
7,SSD,5.9609999999999985,5.273000000000003
8,SSD,42.861000000000004,5.685000000000002
9,SSD,3.9849999999999994,5.0
10,SSD,6.207000000000001,5.966000000000001
11,NCW,6.846000000000004,9.878
12,NCW,8.738,6.683
13,NCW,9.061,8.896999999999998
14,NCW,9.066000000000003,6.904000000000002
15,SSD,5.460000000000008,6.513999999999996
16,SSD,10.247,10.337999999999994
17,SSD,8.756999999999977,6.0519999999999925
18,SSD,8.363,10.328999999999994
19,NCW,6.609999999999999,10.519999999999996
20,NCW,9.316999999999997,6.1910000000000025
21,NCW,10.267,10.187000000000001
22,NCW,7.0760000000000005,7.805
23,SSD,5.4750000000000085,9.96499999999999
24,SSD,9.164000000000001,8.771999999999991
25,SSD,7.498999999999995,5.652000000000001
26,SSD,7.787999999999997,7.224999999999994
