Participant Number,Display,THD,TLD
1,NCW,17.712,6.393
2,NCW,5.778,3.817
3,NCW,13.677,11.697
4,NCW,13.125,4.978
5,NCW,8.014,6.995
6,SSD,13.803,4.641
7,SSD,12.597999999999999,6.004
8,SSD,8.382,7.065
9,SSD,8.245,5.707
10,SSD,8.729,5.116
11,NCW,16.496000000000002,11.622
12,NCW,11.94,7.487
13,NCW,21.807000000000002,12.983
14,NCW,17.866999999999997,7.377
15,SSD,6.821,6.044
16,SSD,8.967,3.484
17,SSD,7.052,3.747
18,SSD,2.269,3.175
19,NCW,12.616,6.754
20,NCW,18.84,7.102
21,NCW,10.076,7.979
22,NCW,13.518,5.546
23,SSD,3.192,7.3740000000000006
24,SSD,1.682,4.224
25,SSD,1.763,7.531
26,SSD,3.1420000000000003,7.953
