Display,THD,TLD
NCW,17.712,6.393
NCW,5.778,3.817
NCW,13.677,11.697
NCW,13.125,4.978
NCW,8.014,6.995
SSD,13.803,4.641
SSD,12.597999999999999,6.004
SSD,8.382,7.065
SSD,8.245,5.707
SSD,8.729,5.116
NCW,16.496000000000002,11.622
NCW,11.94,7.487
NCW,21.807000000000002,12.983
NCW,17.866999999999997,7.377
SSD,6.821,6.044
SSD,8.967,3.484
SSD,7.052,3.747
SSD,2.269,3.175
NCW,12.616,6.754
NCW,18.84,7.102
NCW,10.076,7.979
NCW,13.518,5.546
SSD,3.192,7.3740000000000006
SSD,1.682,4.224
SSD,1.763,7.531
SSD,3.1420000000000003,7.953
