Participant Number,Display,THD,TLD
1,NCW,24.7,22.198
2,NCW,46.875,20.199
3,NCW,17.688,11.203
4,NCW,7.36,16.579
5,NCW,35.68,40.006
6,SSD,54.5,52.957
7,SSD,42.407,30.039
8,SSD,76.732,82.261
9,SSD,47.309,30.524
10,SSD,37.916,20.631
11,NCW,31.426,46.982
12,NCW,37.348,24.509
13,NCW,27.276,36.899
14,NCW,19.932,39.085
15,SSD,66.687,43.863
16,SSD,16.739,41.7
17,SSD,56.201,63.593
18,SSD,42.418,83.406
19,NCW,24.9,39.604
20,NCW,30.55,25.478
21,NCW,31.466,32.575
22,NCW,21.232,28.269
23,SSD,42.059,92.27
24,SSD,46.398,87.684
25,SSD,24.719,55.505
26,SSD,39.548,88.23
